,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lindsay's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
1066,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ministry of Utmost Happiness,"Roy, Arundhati*",067008963X,9780670089635,067008963X,445        pp,3.54,"35,834",Jun 2017,"Jun 06, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 17, 2017",,Hardcover,view,/book/show/32388712-the-ministry-of-utmost-happiness
1067,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Romance Reader's Guide to Life,"Pywell, Sharon*",1250101751,9781250101754,1250101751,320        pp,3.50,830,"Apr 04, 2017","Apr 04, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 14, 2017",,Hardcover,view,/book/show/30319080-the-romance-reader-s-guide-to-life
1068,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shrill: Notes from a Loud Woman,"West, Lindy",0316348406,9780316348409,0316348406,260        pp,4.17,"61,474","May 17, 2016","May 17, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 14, 2017",,Hardcover,view,/book/show/29340182-shrill
1069,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Education of Margot Sánchez,"Rivera, Lilliam*",1481472119,9781481472111,1481472119,296        pp,3.61,"2,685","Feb 21, 2017","Feb 21, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 14, 2017",,Hardcover,view,/book/show/26594801-the-education-of-margot-s-nchez
1070,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Inexplicable Logic of My Life,"Sáenz, Benjamin Alire*",0544586506,9780544586505,0544586506,452        pp,4.12,"25,930","Mar 07, 2017","Mar 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 14, 2017",,Hardcover,view,/book/show/23447923-the-inexplicable-logic-of-my-life
1071,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,House of Names,"Tóibín, Colm",0241264936,9780241264935,0241264936,272        pp,3.58,"9,023","May 09, 2017","May 18, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 14, 2017",,Paperback,view,/book/show/29344653-house-of-names
1072,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Release,"Ness, Patrick",1406377279,9781406377279,1406377279,287        pp,3.65,"18,639","May 04, 2017","May 04, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 14, 2017",,Paperback,view,/book/show/31194576-release
1073,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lucy and Linh,"Pung, Alice*",,,B019B6TW84,352        pp,3.80,"4,427",Nov 2014,"Sep 06, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 07, 2017","Jun 23, 2017","Jun 07, 2017",,Kindle Edition,view,/book/show/25695574-lucy-and-linh
1074,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Are Never Meeting in Real Life.,"Irby, Samantha*",1101912197,9781101912195,1101912197,275        pp,3.90,"45,178","May 30, 2017","May 30, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 31, 2017",,Paperback,view,/book/show/33381433-we-are-never-meeting-in-real-life
1075,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Skin Above My Knee,"Butler, Marcia*",0316392286,9780316392280,0316392286,261        pp,4.14,322,"Feb 21, 2017","Feb 21, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 31, 2017",,Hardcover,view,/book/show/30363789-the-skin-above-my-knee
1076,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Found You,"Jewell, Lisa*",1501154591,9781501154591,1501154591,352        pp,3.96,"128,308","Jun 30, 2016","Apr 25, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 29, 2017",,Hardcover,view,/book/show/30753651-i-found-you
1077,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Witchfinder's Sister,"Underdown, Beth*",1524774014,9781524774011,1524774014,336        pp,3.61,"9,906","Mar 02, 2017","Apr 25, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 29, 2017",,Audio CD,view,/book/show/31377300-the-witchfinder-s-sister
1078,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Imagine Wanting Only This,"Radtke, Kristen*",1101870834,9781101870839,1101870834,278        pp,3.33,"3,629","Apr 18, 2017","Apr 18, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 27, 2017",,Hardcover,view,/book/show/31160314-imagine-wanting-only-this
1079,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lincoln in the Bardo,"Saunders, George",0812995341,9780812995343,0812995341,368        pp,3.75,"155,265",2017,"Feb 14, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5? 4? I don’t know...Although I didn’t exactly enjoy reading this book, I appreciate what it made me think about and feel. I was left uncomfortable 3.5? 4? I don’t know...Although I didn’t exactly enjoy reading this book, I appreciate what it made me think about and feel. I was left uncomfortable and sad about what will eventually be lost but so glad to see perhaps more clearly what’s here—exactly how I think Saunders wanted me to feel (I remember having a similar feeling the first time I read “Our Town”). The Lincoln historical stuff and weaving of so many voices and texts, both real and imagined, was just the vehicle (one that drove me crazy on one page and lost me on the next, but then I’d suddenly love the strange narrative structure when those voices wove into almost echos). I’m also left with so many questions......more",Notes are private!,0,1,1,"May 14, 2020","May 22, 2020","May 20, 2017",,Hardcover,view (with text),/book/show/29906980-lincoln-in-the-bardo
1080,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Such a Full Sea,"Lee, Chang-rae",1594486107,9781594486104,1594486107,407        pp,3.50,"11,512","Jan 07, 2014","Jan 07, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 15, 2017",,Hardcover,view,/book/show/17707526-on-such-a-full-sea
1081,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hate U Give        (The Hate U Give, #1)","Thomas, Angie*",,,0062498533,454        pp,4.47,"897,636","Feb 28, 2017","Feb 28, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 23, 2019","Jun 30, 2019","May 09, 2017",,Hardcover,view,/book/show/32075671-the-hate-u-give
