,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Quiltgranny's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
1479,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pearl,"Steinbeck, John",0142000698,9780142000694,0142000698,96        pp,3.53,"237,961",1947,"Jan 08, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/5308.The_Pearl
1480,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Steppenwolf,"Hesse, Hermann",0140282580,9780140282580,0140282580,256        pp,4.13,"185,500",1927,1999,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/16631.Steppenwolf
1481,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Alienist        (Dr. Laszlo Kreizler, #1)","Carr, Caleb*",0812976142,9780812976144,0812976142,498        pp,4.06,"173,091","Mar 15, 1994","Oct 24, 2006",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/40024.The_Alienist
1482,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cyrano de Bergerac,"Rostand, Edmond",0451528921,9780451528926,0451528921,240        pp,4.06,"84,436",1897,"Aug 05, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/15638.Cyrano_de_Bergerac
1483,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Silas Marner,"Eliot, George",,,,262        pp,3.68,"86,978",Apr 1861,"Jul 01, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/54539.Silas_Marner
1484,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Possession,"Byatt, A.S.",0679735909,9780679735908,0679735909,555        pp,3.89,"80,212",1990,"Oct 01, 1991",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/41219.Possession
1485,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Return of the King        (The Lord of the Rings, #3)","Tolkien, J.R.R.",,,,404        pp,4.56,"903,761","Oct 20, 1955",2003,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Mass Market Paperback,view,/book/show/18512.The_Return_of_the_King
1486,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fall on Your Knees,"MacDonald, Ann-Marie",0743466527,9780743466523,0743466527,672        pp,3.97,"66,281",1996,"Oct 29, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Mass Market Paperback,view,/book/show/5174.Fall_on_Your_Knees
1487,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ahab's Wife, or The Star-Gazer","Naslund, Sena Jeter",0060838744,9780060838744,0060838744,668        pp,4.03,"44,619","Sep 22, 1999","Aug 02, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/7742.Ahab_s_Wife_or_The_Star_Gazer
1488,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James and the Giant Peach,"Dahl, Roald",0375814248,9780375814242,0375814248,176        pp,4.03,"473,398",Nov 1961,"Sep 10, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Hardcover,view,/book/show/6689.James_and_the_Giant_Peach
1489,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oliver Twist,"Dickens, Charles",,,,608        pp,3.88,"388,666",1838,2003,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/18254.Oliver_Twist
1490,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Godfather        (The Godfather, #1)","Puzo, Mario",,,,448        pp,4.39,"420,484","Mar 10, 1969","Mar 01, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/22034.The_Godfather
1491,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cider House Rules,"Irving, John*",0786226749,9780786226740,0786226749,"1,064        pp",4.16,"185,188","May 10, 1985","Jan 01, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Hardcover,view,/book/show/4687.The_Cider_House_Rules
1492,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cold Sassy Tree,"Burns, Olive Ann",038531258X,9780385312585,038531258X,391        pp,4.02,"103,254",1984,Jul 2005,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/306654.Cold_Sassy_Tree
1493,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Prophet,"Gibran, Kahlil",000100039X,9780001000391,000100039X,127        pp,4.23,"298,646",1923,"Apr 13, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/2547.The_Prophet
1494,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Angle of Repose,"Stegner, Wallace",,9780140169300,014016930X,569        pp,4.24,"59,187","Mar 01, 1971","May 28, 1992",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/292408.Angle_of_Repose
