,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Amina's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
393,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bijeli tigar,"Adiga, Aravind",9958300281,9789958300288,9958300281,296        pp,3.76,"191,619","Apr 22, 2008",Mar 2009,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Solidna priča o ambicioznom siromašnom mladiću koji ubija svog gazdu i na taj način uspije da se spasi od bijede. Bijeli tigar je simbol za rijetke ljSolidna priča o ambicioznom siromašnom mladiću koji ubija svog gazdu i na taj način uspije da se spasi od bijede. Bijeli tigar je simbol za rijetke ljude koji se domognu slave i bogatstva i spase bijede....more,Notes are private!,0,5,1,"Jun 24, 2022","Jun 25, 2022","Jun 24, 2022",,Paperback,view (with text),/book/show/16028164-bijeli-tigar
394,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Na zemlji smo nakratko predivni,"Vuong, Ocean",,9789532593013,,256        pp,4.04,"299,676","Jun 04, 2019",Sep 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 23, 2022",,Hardcover,view,/book/show/55781720-na-zemlji-smo-nakratko-predivni
395,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ubistvo u Kapetan Mišinoj,"Stefanović, Nenad Novak",8652121427,9788652121427,8652121427,312        pp,3.81,153,2016,"May 17, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nije moj žanr, ali mi se svidio roman. Podsjeća na seriju Senke nad Balkanom, te sam čitajući imala vizielni dojam o svim mjestima iz radnje romana.",Notes are private!,0,11,1,"Aug 30, 2022",Sep 2022,"Jun 23, 2022",,Paperback,view (with text),/book/show/30356844-ubistvo-u-kapetan-mi-inoj
396,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Istorija pčela,"Lunde, Maja",8677201580,9788677201586,,392        pp,3.81,"41,831",Aug 2015,2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 23, 2022",,Paperback,view,/book/show/52708519-istorija-p-ela
397,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bibliotekarka iz Kentakija,"Richardson, Kim Michele*",,9788652144440,,352        pp,4.22,"217,338","May 07, 2019","May 17, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 20, 2023","Mar 22, 2023","Jun 21, 2022",,Paperback,view,/book/show/60913714-bibliotekarka-iz-kentakija
398,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,More uspomena,"Valpy, Fiona*",,9788610041880,,249        pp,4.40,"49,563","Mar 01, 2018",2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Nesavršena stvarnost je mnogo vrednija od savršenog sna.""""Nesavršena stvarnost je mnogo vrednija od savršenog sna.""...more",Notes are private!,0,6,1,"Oct 28, 2023","Oct 29, 2023","Jun 21, 2022",,Paperback,view (with text),/book/show/60209887-more-uspomena
399,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sobarica,"Prose, Nita*",,9788610041774,,271        pp,3.78,"538,991","Jan 04, 2022",2022,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Interesantan lik sobarice Moli koji ce vam osvojiti srce.,Notes are private!,0,5,1,"Dec 15, 2023","Dec 23, 2023","Jun 20, 2022",,Paperback,view (with text),/book/show/60171310-sobarica
400,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Praznik u raju        (Paradise, #1)","Hilderbrand, Elin*",,9788610033922,,256        pp,4.08,"130,633","Oct 09, 2018",Sep 2020,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Neočekivano zanimljivo ljetno štivo. Jednostavan stil, zamimljivi likovi, neočekivani obrti. Jedva čekam nastavak.",Notes are private!,0,3,1,"Jun 19, 2022","Jun 23, 2022","Jun 19, 2022",,Paperback,view (with text),/book/show/55335436-praznik-u-raju
401,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,9. novembar,"Hoover, Colleen*",,9788652144655,,324        pp,4.14,"1,078,778","Nov 10, 2015","Apr 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 16, 2022",,Paperback,view,/book/show/60566353-9-novembar
402,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Uska staza ka dalekom severu,"Flanagan, Richard",8652122121,9788652122127,8652122121,480        pp,4.03,"56,944","Sep 23, 2013","Apr 14, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Teška tema, stil zahtjevan. Ne sporim umjetničku vrijednost djela, ali sam se debelo napatila sa romanom. Na momente je odličan, a neki dijelovi su suTeška tema, stil zahtjevan. Ne sporim umjetničku vrijednost djela, ali sam se debelo napatila sa romanom. Na momente je odličan, a neki dijelovi su suvišni. Sve u svemu, dojam je ocjena 3....more",Notes are private!,0,8,1,"Jun 13, 2022","Jun 16, 2022","Jun 13, 2022",,Paperback,view (with text),/book/show/30063145-uska-staza-ka-dalekom-severu
