,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Deacon Tom's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
560,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,His & Hers,"Feeney, Alice*",,,B07RYGHRTS,314        pp,4.08,"133,654","Jul 28, 2020","Jul 28, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well WrittenThis was a nice story that was written in a two person method. That method was at times a bit confusing, but overall worked.The author shoWell WrittenThis was a nice story that was written in a two person method. That method was at times a bit confusing, but overall worked.The author should be congratulated for the ending. It was a very big twist.The book was the fast read, and when I recommend to those who like mysteries ...more",Notes are private!,0,4,1,"Mar 15, 2023","Mar 17, 2023","Mar 15, 2023",,Kindle Edition,view (with text),/book/show/59119616-his-hers
561,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Novelist as a Vocation,"Murakami, Haruki",0451494652,,B09S37T6TM,213        pp,3.89,"13,092",2015,"Nov 08, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well, this book is a collection of articles & essays by the author. It gives pretty good advice on how to view a writer, particularly a novelist.My biWell, this book is a collection of articles & essays by the author. It gives pretty good advice on how to view a writer, particularly a novelist.My biggest complaint was it is based on the Japanese market, which I really have no relationship with.I lightly recommend this book. ...more",Notes are private!,0,3,1,"Mar 15, 2023","Mar 18, 2023","Mar 15, 2023",,Kindle Edition,view (with text),/book/show/60387334-novelist-as-a-vocation
562,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Birthday Girl,"Fortin, Sue *",0008275491,9780008275495,B0745V98LM,418        pp,3.78,"3,847","Nov 14, 2017","Nov 30, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A bit of a problem for me. It started out very well and held my attention. However, once we got to the middle, and to the end, more characters were adA bit of a problem for me. It started out very well and held my attention. However, once we got to the middle, and to the end, more characters were added, and muddied, the plot line for me.I thought the strength of this book was in his characters and Sue Fortin should be commended.I recommend....more",Notes are private!,0,5,1,"Mar 14, 2023","Mar 15, 2023","Mar 14, 2023",,Kindle Edition,view (with text),/book/show/36066989-the-birthday-girl
563,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Final Approach,"Nance, John J.",,,B018YPUQYC,529        pp,4.11,"4,456","Aug 22, 1990","Jan 19, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"ExcitingAnother John Nance winner!I really enjoyed this book was fast, paced with lots of twists and turns and it kept you on your toes about followinExcitingAnother John Nance winner!I really enjoyed this book was fast, paced with lots of twists and turns and it kept you on your toes about following the plot...more",Notes are private!,0,5,1,"Mar 11, 2023","Mar 14, 2023","Mar 11, 2023",,Kindle Edition,view (with text),/book/show/28601221-final-approach
564,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of Baseball,"Jr., Peter Schilling",,,B00C2NSSC0,352        pp,3.84,205,"Mar 07, 2008","Mar 07, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very CreativeI thoroughly enjoyed the book, called, “the end of baseball”. The author did a fantastic job. He thoroughly did his research. I am from PVery CreativeI thoroughly enjoyed the book, called, “the end of baseball”. The author did a fantastic job. He thoroughly did his research. I am from Philadelphia and know of the stadium and history of of the team. So, I can verify for the accuracy.The plot was around the theory of what if the great Negro players were allowed to play major league baseball. As a baseball junkie, this book filled by off season appetite. I recommend this book. However, if your baseball friend, I highly recommend....more",Notes are private!,0,11,1,"Mar 08, 2023","Mar 11, 2023","Mar 08, 2023",,Kindle Edition,view (with text),/book/show/21084069-the-end-of-baseball
565,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Into the Water,"Hawkins, Paula*",,,B01N590V3K,389        pp,3.59,"388,697","May 02, 2017","May 02, 2017",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"DNF 55%What a disappointment! This book was very confusing. There were so many characters. It was hard to keep up with who was whom, and I just had toDNF 55%What a disappointment! This book was very confusing. There were so many characters. It was hard to keep up with who was whom, and I just had to say goodbye to the book....more",Notes are private!,0,8,1,"Mar 07, 2023","Mar 08, 2023","Mar 07, 2023",,Kindle Edition,view (with text),/book/show/33151808-into-the-water
566,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Running a Thousand Miles for Freedom,"Craft, William",1662504748,9781662504747,B09N3LP6TX,75        pp,4.10,"1,084",1860,"Feb 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,2,"Mar 06, 2023Mar 06, 2023","Mar 06, 2023Mar 06, 2023","Mar 06, 2023",,Kindle Edition,view,/book/show/60452924-running-a-thousand-miles-for-freedom
567,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Don't You Cry,"Kubica, Mary*",,,B0181W5CBU,320        pp,3.53,"55,905","May 17, 2016","May 17, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,SuspenseAnother fast paced book by Mary Kubica. She has a magic way of handling characters and she does it to perfection in this book.I really enjoyedSuspenseAnother fast paced book by Mary Kubica. She has a magic way of handling characters and she does it to perfection in this book.I really enjoyed this book and I loved the plot and the twists that it took.A winner that I recommend!...more,Notes are private!,0,12,1,"Mar 05, 2023","Mar 07, 2023","Mar 05, 2023",,Kindle Edition,view (with text),/book/show/36269092-don-t-you-cry
568,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jerusalem: The Biography,"Montefiore, Simon Sebag*",,,B004LROX8S,961        pp,4.07,"11,363",2011,"Oct 25, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"ThoroughThis is a magnificent document about the continuous struggles of one of the most holy cities for Christians, Jews and Islamic faiths. This, itThoroughThis is a magnificent document about the continuous struggles of one of the most holy cities for Christians, Jews and Islamic faiths. This, it is a history of struggle and wars. It meant a lot to me because I recently visited the holy land sites in Jerusalem for a week. Well written and extremely long but worth ones time....more",Notes are private!,0,20,1,"Mar 05, 2023","Mar 07, 2023","Mar 05, 2023",,Kindle Edition,view (with text),/book/show/59026767-jerusalem
569,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Send Down the Rain,"Martin, Charles*",,,B072TN1NF2,351        pp,4.25,"17,740","May 08, 2018","May 08, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"MagnificentThis is possibly the best book I have ever read. It touched my emotions in levels that I seldom knew was possible. The plot is powerful. WhMagnificentThis is possibly the best book I have ever read. It touched my emotions in levels that I seldom knew was possible. The plot is powerful. When it comes together, it knocked me off my feet. I would put a bookmark in your current book and get a copy of this magnificent tale. You deserve it!...more",Notes are private!,0,10,1,"Mar 05, 2023","Mar 05, 2023","Mar 05, 2023",,Kindle Edition,view (with text),/book/show/35694760-send-down-the-rain
