,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Simona's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
316,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Niente di vero,"Raimo, Veronica",8806251899,9788806251895,8806251899,176        pp,3.59,"11,348","Feb 01, 2022","Feb 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Nella mia famiglia ognuno ha il proprio modo di sabotare la famiglia per tornaconto personale. Abbiamo sempre manipolato la realtà come se fosse un e""Nella mia famiglia ognuno ha il proprio modo di sabotare la famiglia per tornaconto personale. Abbiamo sempre manipolato la realtà come se fosse un esercizio di stile"". Questa citazione rappresenta molto bene il concetto e il significato di questa opera della Raimo, tra i 12 finalisti al Premio Strega di quest'anno. Una biografia o autofiction di cui colpisce molto lo stile, il modo in cui la stessa scrittrice si racconta. Uno stile irriverente, dissacrante che le permette di parlare di qualsiasi argomento: dal sesso, non ha mai ricevuto una educazione sessuale, alla perdita dei nonni sino a non avere remore nel parlare di disfunzioni corporali. I legami familiari e i rapporti con il padre che ha una smania di controllo e disinfetta qualsiasi cosa sino alla madre e alle sue ansie che chiama ogni minuto i figli per accertarsi di dove siano passando per il fratello che è il genio della famiglia.Non so, se come dice il titolo, non vi sia niente di vero o sia tutta una menzogna, ma la Raimo ha la capacità di raccontarsi, tra il serio e il faceto, tra la verità e la bugia, proprio come la vita in tutte le sue sfaccettature. ...more",Notes are private!,0,10,1,"May 15, 2022","May 18, 2022","May 15, 2022",,Hardcover,view (with text),/book/show/60162498-niente-di-vero
317,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oh William!,"Strout, Elizabeth*",8806250035,9788806250034,8806250035,184        pp,3.86,"80,117","Oct 19, 2021","May 10, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Oct 11, 2022","Oct 13, 2022","May 15, 2022",,Hardcover,view,/book/show/61056452-oh-william
318,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quel tipo di donna,"Parrella, Valeria",8869055647,9788869055645,8869055647,107        pp,3.35,168,unknown,Aug 2020,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"C'è qualcosa nello stile della Parrella che non so bene come spiegare, ma non riesce a convincermi del tutto. In questo romanzo breve, partendo dal viC'è qualcosa nello stile della Parrella che non so bene come spiegare, ma non riesce a convincermi del tutto. In questo romanzo breve, partendo dal viaggio di 4 amiche tra la Cappadocia e i Camini delle Fate, racconta l'essere donna. Sono 4 amiche, 4 donne che si lasciano alle spalle amori, solitudini e anche profondo dolore e cicatrici. Sono donne che, nonostante le avversità della vita, riescono ad andare avanti. Una storia di amicizia nella quale ognuna può riconoscersi e ritrovarsi. Un elogio all'amicizia e alla bellezza di essere donna in ogni momento e modo. Donne che affermano la loro libertà e il loro essere uniche al mondo....more",Notes are private!,0,3,1,"May 13, 2022","May 15, 2022","May 13, 2022",,Paperback,view (with text),/book/show/55543280-quel-tipo-di-donna
319,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Che razza di libro!,"Mott, Jason*",,9791280284525,B09MYVWCSC,320        pp,4.05,"22,966","Jun 29, 2021","May 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 13, 2022",,Paperback,view,/book/show/61037056-che-razza-di-libro
320,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dove nasce il vento: Vita di Nellie Bly,"Attadio, Nicola",8845296512,9788845296512,8845296512,204        pp,3.88,317,2018,"Mar 07, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Un ""vento forte"" soffia tra le pagine di questa opera di Attadio che, tra ricerche e articoli (si leggano i suoi scritti come reporter riferiti alla PUn ""vento forte"" soffia tra le pagine di questa opera di Attadio che, tra ricerche e articoli (si leggano i suoi scritti come reporter riferiti alla Prima Guerra Mondiale), racconta di Elizabeth Cochran, ovvero Nellie Bly. Una piccola grande donna che, pur perdendo il padre in giovane età, ci tiene a far valere le sue ragioni e i suoi pensieri di donna perché:“Mai più,” ripete a se stessa. Mai più in balia di altri. Mai più barattare la propria dignità in cambio di un po’ di sicurezza. Mai più nella propria vita dovrà dipendere da un uomo. Mai più"".A free american girl (Una ragazza americana libera) dice molto di chi sia Nellie Bly e di come si presenti agli occhi del mondo, degli uomini. Una donna di cui, fin da subito, rimangono impresse la grande determinazione, la capacità di scegliere per sé stessa e il suo impegno. Ciò che colpisce è il suo senso di libertà, la sua voglia e sete di curiosità, il suo modo di fare giornalismo, di vedere la notizia, andando oltre.Un bellissimo omaggio e pagine emozionanti, ricche che assurgono a simbolo di tenacia, bellezza e dedizione. Un ""vento forte"" che è spirato troppo in fretta. ...more",Notes are private!,0,3,1,"May 22, 2022","May 24, 2022","May 12, 2022",,Paperback,view (with text),/book/show/38904934-dove-nasce-il-vento
321,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lettere d'una viaggiatrice (Manubri),"Serao, Matilde",8869936708,9788869936708,8869936708,191        pp,3.60,5,unknown,"Dec 13, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Proprio come spiega nella prefazione, Matilde Serao si rivolge direttamente al lettore invitando a ""Non cerchi, l'amico lettore, in queste lettere di Proprio come spiega nella prefazione, Matilde Serao si rivolge direttamente al lettore invitando a ""Non cerchi, l'amico lettore, in queste lettere di una viaggiatrice, né l'itinerario preciso, né l'ordne cronologico"". Sono viaggi che la stessa Serao ha compiuto in varie parti di Italia in epoche e periodi diversi che non sono dati sapere all'ignaro lettore.Sono lettere che non hanno un destinatario e che raccontano i viaggi fatti. Da Roma, molto apprezzata sia nel periodo invernale, ma soprattutto durante la stagione estiva, quando la calura e l'afa portano gli abitanti lontani e in vacanza passando per Firenze, città dal grande fascino anche grazie a una figura cardine come Lorenzo De Medici. Ci sono poi viaggi a Montecarlo e al suo casinò sino a Verona e alla storia vera o presunta di Romeo e Giuletta arrivando anche ad Aosta, a Gressoney, a quel luogo dove debbo ritornare.Non sono solo i viaggi di piacere di una scrittrice e viaggiatrice, ma il viaggio diventa anche lo strumento per scoprire sé stessi e il valore dell'arte, della scrittura per ritrovarsi e non perdersi. ...more",Notes are private!,0,2,1,"May 09, 2022","May 12, 2022","May 09, 2022",,Paperback,view (with text),/book/show/43882672-lettere-d-una-viaggiatrice-manubri
322,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Guarda le luci, amore mio","Ernaux, Annie*",8831312847,9788831312844,8831312847,107        pp,3.53,"3,982","Mar 27, 2014","Mar 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 08, 2022",,Paperback,view,/book/show/60581703-guarda-le-luci-amore-mio
323,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La guardia bianca,"Bulgakov, Mikhail",8807822261,9788807822261,8807822261,429        pp,4.01,"14,632",1924,Jan 2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 06, 2022",,Paperback,view,/book/show/10803434-la-guardia-bianca
324,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Specchio delle mie brame: La prigione della bellezza,"Gancitano, Maura*",8806251147,9788806251147,8806251147,180        pp,4.14,"1,934","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 06, 2022",,Paperback,view,/book/show/60761547-specchio-delle-mie-brame
325,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nova,"Bacà, Fabio",8845935876,9788845935879,8845935876,279        pp,3.12,944,"Oct 07, 2021","Oct 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 06, 2022",,Paperback,view,/book/show/59084636-nova
