,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Dan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
806,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wanderers        (Wanderers, #1)","Wendig, Chuck*",,9780399182112,,845        pp,3.98,"26,180","Jul 02, 2019","Jul 09, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a fun, sci-fi adventure. The concept of the story, the kernel idea, is pretty cool, and I would give that idea 5 stars. However, the executioThis was a fun, sci-fi adventure. The concept of the story, the kernel idea, is pretty cool, and I would give that idea 5 stars. However, the execution of the story and the fairly empty characters brought the rating down. I just didn't connect with any of the characters at all. However, it's still a fun page-turner. ...more",Notes are private!,0,0,1,not set,"Jul 03, 2020","Jul 12, 2019",,ebook,view (with text),/book/show/32603079-wanderers
807,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Democracy May Not Exist, but We'll Miss It When It's Gone","Taylor, Astra",125017984X,9781250179845,125017984X,368        pp,4.23,600,"May 07, 2019","May 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 12, 2019",,Hardcover,view,/book/show/38122407-democracy-may-not-exist-but-we-ll-miss-it-when-it-s-gone
808,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Founding Myth: Why Christian Nationalism Is Un-American,"Seidel, Andrew L.",1454933275,9781454933274,1454933275,352        pp,4.46,"1,815","May 14, 2019","May 14, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 11, 2019",,Hardcover,view,/book/show/42193976-the-founding-myth
809,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Supernavigators: Exploring the Wonders of How Animals Find Their Way,"Barrie, David*",1684419190,9781684419197,1684419190,unknown,3.81,734,"May 28, 2019","May 28, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 11, 2019",,Audio CD,view,/book/show/45994446-supernavigators
810,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ill Winds: Saving Democracy from Russian Rage, Chinese Ambition, and American Complacency","Diamond, Larry",0525560637,9780525560630,B07HLR7R7F,368        pp,4.02,235,unknown,"Jun 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 10, 2019",,Kindle Edition,view,/book/show/43428186-ill-winds
811,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The MVP Machine: How Baseball's New Nonconformists Are Using Data to Build Better Players,"Lindbergh, Ben*",1541698940,9781541698949,1541698940,384        pp,4.28,"2,587","Jun 04, 2019","Jun 04, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 15, 2023","Jun 30, 2019",,Hardcover,view,/book/show/42283858-the-mvp-machine
812,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Medical Bondage: Race, Gender, and the Origins of American Gynecology","Owens, Deirdre Cooper",0820351342,9780820351346,0820351342,0        pp,4.14,"1,869","Nov 15, 2017","Nov 15, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 25, 2019",,Kindle Edition,view,/book/show/34689315-medical-bondage
813,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lies that Bind: Rethinking Identity,"Appiah, Kwame Anthony",,,B076MMN58K,272        pp,3.86,"1,897","Aug 28, 2018","Aug 28, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 25, 2019",,Kindle Edition,view,/book/show/38321385-the-lies-that-bind
814,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Knitting the Fog,"Hernández, Claudia D.",1936932547,9781936932542,1936932547,179        pp,4.05,236,"Jul 09, 2019","Jul 09, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 25, 2019",,Paperback,view,/book/show/43192004-knitting-the-fog
815,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dark Fantastic: Race and the Imagination from Harry Potter to the Hunger Games        (Postmillennial Pop, 13)","Thomas, Ebony Elizabeth*",1479800651,9781479800650,1479800651,240        pp,4.21,"1,356","May 21, 2019","May 21, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 25, 2019",,Hardcover,view,/book/show/42129087-the-dark-fantastic
816,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Color of Law: A Forgotten History of How Our Government Segregated America,"Rothstein, Richard",1631492853,9781631492853,1631492853,368        pp,4.45,"38,849","May 02, 2017","May 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 25, 2019",,Hardcover,view,/book/show/32191706-the-color-of-law
817,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Accident of Color: A Story of Race in Reconstruction,"Brook, Daniel*",0393247449,9780393247442,0393247449,336        pp,4.35,142,unknown,"Jun 18, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 18, 2019",,Hardcover,view,/book/show/41817482-the-accident-of-color
818,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ballad of the Whiskey Robber: A True Story of Bank Heists, Ice Hockey, Transylvanian Pelt Smuggling, Moonlighting Detectives, and Broken Hearts","Rubinstein, Julian*",0316010731,9780316010733,0316010731,352        pp,4.01,"5,273","Sep 16, 2004","Sep 13, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 17, 2019",,Paperback,view,/book/show/28805.Ballad_of_the_Whiskey_Robber
