,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Danielle ❤️ Pretty Mess Reading ❤️'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On The Edge of Love        (Mama's Brood #1),"Rucker, Shay",0997473312,9780997473315,B079JJ3NM2,326        pp,4.42,"1,076","Jan 20, 2015","Feb 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Kindle Edition,view,/book/show/38464795-on-the-edge-of-love
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Garrett's Temptation        (Dangerously Curvy #2),"Allen, M'Renee*",,,B07L1YPW67,561        pp,4.54,464,unknown,"Nov 30, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I wasn't for sure what I was getting myself into with Garrett's and Oni's story after reading book one, but it definitely wasn't this. This book rightI wasn't for sure what I was getting myself into with Garrett's and Oni's story after reading book one, but it definitely wasn't this. This book right here. . . right here. . . was freaking amazing! Garrett is my kind of crazy and Oni is my type of BFF. Together, they were unstoppable. The chemistry is chef's kiss ...more",Notes are private!,0,3,1,"Mar 20, 2024","Mar 21, 2024","Mar 22, 2024",,Kindle Edition,view (with text),/book/show/199233416-garrett-s-temptation
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Private Property        (Dangerous Lovers #1),"Allen, M'Renee*",,,B083C5TXJ4,135        pp,4.37,359,unknown,"Dec 30, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 23, 2024","Mar 23, 2024","Mar 22, 2024",,Kindle Edition,view,/book/show/50233600-private-property
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dean's Addiction        (Dangerously Curvy #1),"Allen, M'Renee*",,,,286        pp,4.38,570,unknown,"Jul 12, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 16, 2024","Mar 16, 2024","Mar 16, 2024",,Kindle Edition,view,/book/show/60635310-dean-s-addiction
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Locked Doors,"Patterson, Tiffany*",,,,unknown,4.35,72,"Mar 13, 2019","Mar 13, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 15, 2024","Mar 15, 2024","Mar 16, 2024",,ebook,view,/book/show/49962314-locked-doors
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kiss and Spell        (Elemental Love, #2)","Martin, Celestine",1538738082,9781538738085,1538738082,384        pp,3.83,455,unknown,"Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/78537577-kiss-and-spell
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Roommate Risk        (The Midnight Heat Collection, #2)","Hibbert, Talia*",,,,352        pp,3.75,"10,414","Apr 21, 2018","May 04, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm so sad that I didn't really like this book. It wasn't bad by any means, but it didn't hit either. It felt like I was reading the same characters fI'm so sad that I didn't really like this book. It wasn't bad by any means, but it didn't hit either. It felt like I was reading the same characters from the Brown Sisters. I was questioning if every one of her books have the exact same characters.Jasmine's fear of commitment was not truly explained. The reader can guess that it has something to do with her mother, but it's never explored. The entire book is about her fear of commitment, but there is never a ""why"" around it. It made her seem bratty. A times, a down right bitch.Rahul was a good dude, a sweet beta male. Jasmine didn't deserve his love. He's the more realistic guy vs. the book boyfriend guy. It worked, though.The miscommunication trope wasn't as bad as I thought it would be, so that was a positive. The spice was very spicy. I was very surprised tbh. It was almost on par with many indie books....more",Notes are private!,2,5,1,"Mar 10, 2024","Mar 11, 2024","Mar 11, 2024",,Kindle Edition,view (with text),/book/show/57963881-the-roommate-risk
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hot for Teacher        (Richardson Sibling Trilogy, #1)","Fisher, Monique*",,9798218215491,B0C5TTHVHH,235        pp,3.96,409,unknown,"Oct 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Kindle Edition,view,/book/show/157286114-hot-for-teacher
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Twisted Revelations Book #5 (The Twisted Series,"Kendric, Keta*",,,B0CQVDSC11,430        pp,4.53,621,"Mar 15, 2019","Dec 22, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was never overly curious about Laura and Beverly story, so I kept putting this one off. I regret that previous train of thought. I wish I would haveI was never overly curious about Laura and Beverly story, so I kept putting this one off. I regret that previous train of thought. I wish I would have read this book sooner. It was so good. I did not expect Beverly's love interest at all. Luke was really the sweetest thing ever. Dax and Laura were like oil and water, yet found a way to mix. I wish I knew at Derrick was upto, though. The mix of drama, action, and love is pure perfection for a dark romance. Even when the action scenes were happening, the romance was still there.It was very impressive how the author was able to take all of the books in the series and weave them together with the same storyline while making every book different. That is a trait of a truly talented writer....more",Notes are private!,0,0,1,"Mar 05, 2024","Mar 06, 2024","Mar 07, 2024",,Kindle Edition,view (with text),/book/show/204274303-twisted-revelations-book-5-the-twisted-series
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wild Women and the Blues,"Bryce, Denny S.*",1496730089,9781496730084,1496730089,352        pp,3.77,"6,594","Mar 30, 2021","Mar 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Paperback,view,/book/show/52649899-wild-women-and-the-blues
