,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Maria's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
591,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Solenoid,"Cărtărescu, Mircea",9735050595,9789735050597,9735050595,840        pp,4.29,"3,570",Nov 2015,Nov 2015,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/27826456-solenoid
592,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lost Paradise,"Nooteboom, Cees",0802118550,9780802118554,0802118550,151        pp,3.39,828,2004,"Oct 10, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jan 05, 2022",,Hardcover,view,/book/show/1113312.Lost_Paradise
593,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maestrul şi Margareta,"Bulgakov, Mikhail",973689293X,9789736892936,973689293X,520        pp,4.29,"353,352",1967,2007,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/10921097-maestrul-i-margareta
594,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sapiens: A Brief History of Humankind,"Harari, Yuval Noah",,,,512        pp,4.36,"1,027,786",2011,2015,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/23692271-sapiens
595,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Kill a Mockingbird,"Lee, Harper",,,,323        pp,4.26,"6,123,010","Jul 11, 1960","May 23, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/2657.To_Kill_a_Mockingbird
596,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Copilăria lui Kaspar Hauser,"Stănescu, Bogdan-Alexandru",9734667610,9789734667611,9734667610,251        pp,4.10,415,May 2017,May 2017,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/35170184-copil-ria-lui-kaspar-hauser
597,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grădina de sticlă,"Țîbuleac, Tatiana",,9789975862851,,176        pp,4.21,"3,822",May 2018,May 2018,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/40130367-gr-dina-de-sticl
598,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vara în care mama a avut ochii verzi,"Țîbuleac, Tatiana",,9789975861359,,122        pp,4.36,"22,741",2017,2017,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/33383233-vara-n-care-mama-a-avut-ochii-verzi
599,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sotul meu, Michael","Oz, Amos",9736895890,9789736895890,9736895890,272        pp,3.58,"3,742",1967,Apr 2013,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/18373563-sotul-meu-michael
600,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cutia neagră,"Oz, Amos",9738731585,9789738731585,,240        pp,3.89,"3,850",1986,"Nov 28, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/6610344-cutia-neagr
